src_hin	tgt_translation	domain
नमस्ते	ᱡᱚᱦᱟᱨ	greeting
आप कैसे हैं?	ᱟᱢ ᱪᱮᱫ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?	conversation
हम स्कूल जा रहे हैं	ᱟᱞᱮ ᱤᱥᱠᱩᱞ ᱞᱮ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ	education
पानी	ᱫᱟᱜ	vocabulary
घर	ᱚᱲᱟᱜ	vocabulary
गाँव	ᱟᱹᱛᱩ	geography
सूरज निकल रहा है	ᱥᱤᱸᱜᱤ ᱚᱰᱚᱠᱚᱜ ᱠᱟᱱᱟ	nature
वह खाना खा रहा है	ᱩᱱᱤ ᱫᱟᱠᱟ ᱡᱚᱢᱮᱫᱟ	daily_life
बच्चे खेल रहे हैं	ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱮᱱᱮᱡ ᱠᱟᱱᱟ	daily_life
यह बहुत सुंदर फूल है	ᱱᱚᱣᱟ ᱟᱹᱰᱤ ᱪᱚᱨᱚᱠ ᱵᱟᱦᱟ ᱠᱟᱱᱟ	description
घर में निकल जा रहा है मैं और वैद्य मुंहतोड़	ᱚᱲᱟᱜ ᱨᱮ ᱚᱰᱚᱠ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ ᱤᱧ ᱟᱨ ᱣᱮᱫᱽᱭ ᱢᱩᱸᱦᱛᱳᱲ	complex
धन्यवाद	ᱥᱟᱨᱦᱟᱣ	politeness
