src_hin	tgt_translation	domain
नमस्ते	जोहार	greeting
आप कैसे हैं?	अम चिलका मेनामा?	conversation
हम स्कूल जा रहे हैं	अले इस्कुल सेन ताना	education
पानी	दाः	vocabulary
घर	ओड़ाः	vocabulary
गाँव	हातु	geography
सूरज निकल रहा है	सिंगी ओडोंक ताना	nature
वह खाना खा रहा है	एनी मांडी जोम ताना	daily_life
बच्चे खेल रहे हैं	होन को ईनूंग तानाको	daily_life
यह बहुत सुंदर है	नेनी पुरोः सुगुन ताना	description
घर में निकल जा रहा है मैं और वैद्य मुंहतोड़	ओड़ाः रे ओडोंक सेन ताना आईंग ओड़ोः वैद्य मुंहतोड़	complex
धन्यवाद	दोन्यावाद / जोहार	politeness
